family,scenario,mode,algo,model,source_log,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_len,mean_route_distance,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_semantic_cost,llm_raw_used_rate,llm_overridden_rate,constraint_success_rate,safe_success_rate
hf,semantic_constraint,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_semantic_constraint_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_semantic_constraint_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_ppo_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.59,0.0,0.41,0.0,0.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.11,0.89,1.0,0.59
hf,semantic_constraint,hf,ppo,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_ppo_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.59,0.0,0.41,0.0,0.06,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.02,0.92,1.0,0.59
hf,semantic_constraint,hf,ppo,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_albert__albert-base-v2_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_distilbert__distilbert-base-uncased_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,google-bert__bert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_google-bert__bert-base-uncased_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,google__mobilebert-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_google__mobilebert-uncased_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,huawei-noah__TinyBERT_General_4L_312D,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_huawei-noah__TinyBERT_General_4L_312D_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,openai-community__gpt2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_openai-community__gpt2_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
hf,semantic_constraint,hf,ppo,openai-community__gpt2-medium,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_ppo_openai-community__gpt2-medium_100ep.log,100.0,0.59,0.0,0.41,0.0,1.0,0.0,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
ablation,semantic_constraint,no_turn_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_sac_no_turn_term_100ep.log,100.0,0.48,0.0,0.52,0.0,0.0,0.0,0.0,1557.847,406.44,469.688,437.5,5.283,10.884,14.864,1.29,24.59,5.59,8.02,16.021,1.14,0.153,21.7,0.361,0.041,0.041,0.0,0.0,1.0,0.48
ablation,semantic_constraint,no_clearance_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_sac_no_clearance_term_100ep.log,100.0,0.46,0.0,0.54,0.0,0.0,0.0,0.0,1289.88,400.64,466.043,435.5,5.612,10.332,14.543,1.18,23.4,5.08,7.65,15.667,0.97,0.166,22.477,0.477,0.057,0.057,0.0,0.0,1.0,0.46
ablation,semantic_constraint,no_semantic_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_sac_no_semantic_term_100ep.log,100.0,0.44,0.0,0.56,0.0,0.0,0.0,0.0,955.523,391.73,407.636,390.0,5.65,9.716,12.76,0.84,33.31,4.5,7.04,14.836,0.81,0.187,20.069,0.954,0.101,0.101,0.0,0.0,1.0,0.44
ablation,semantic_constraint,full,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_sac_full_100ep.log,100.0,0.47,0.0,0.53,0.0,0.0,0.0,0.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
ablation,semantic_constraint,shortest_only,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_sac_shortest_only_100ep.log,100.0,0.44,0.0,0.56,0.0,0.0,0.0,0.0,927.075,392.41,412.818,389.5,5.674,9.679,12.801,0.8,34.3,4.64,7.21,14.792,0.84,0.196,14.792,1.08,0.105,0.105,0.0,0.0,1.0,0.44
hf,semantic_constraint,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_sac_FacebookAI__roberta-base_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_semantic_constraint_sac_FacebookAI__roberta-base_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_semantic_constraint_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_sac_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.47,0.0,0.53,0.0,0.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.11,0.89,1.0,0.47
hf,semantic_constraint,hf,sac,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_semantic_constraint_sac_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.47,0.0,0.53,0.0,0.06,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.02,0.92,1.0,0.47
hf,semantic_constraint,hf,sac,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_albert__albert-base-v2_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_distilbert__distilbert-base-uncased_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,google-bert__bert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_google-bert__bert-base-uncased_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,google__mobilebert-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_google__mobilebert-uncased_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,huawei-noah__TinyBERT_General_4L_312D,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_huawei-noah__TinyBERT_General_4L_312D_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,openai-community__gpt2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_openai-community__gpt2_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
hf,semantic_constraint,hf,sac,openai-community__gpt2-medium,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_semantic_constraint_sac_openai-community__gpt2-medium_100ep.log,100.0,0.47,0.0,0.53,0.0,1.0,0.0,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.0,0.0,1.0,0.47
