family,scenario,mode,algo,model,source_log,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_len,mean_route_distance,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_semantic_cost,llm_raw_used_rate,llm_overridden_rate,constraint_success_rate,safe_success_rate
ablation,long_horizon,full,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_full_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.42,0.58,0.0,0.0
hf,long_horizon,hf,ppo,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.64,0.0,0.36,0.0,0.07,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.08,0.85,0.0,0.0
hf,long_horizon,hf,ppo,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_albert__albert-base-v2_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
