scenario,algo,planner_mode,model,episodes,success_rate,success_ci95_low,success_ci95_high,strict_valid_rate,strict_ci95_low,strict_ci95_high,parse_ok_rate,repair_rate,collision_rate,timeout_rate,invalid_route_rate,mean_steps,mean_route_distance,mean_route_turns,mean_semantic_cost,mean_route_score,mean_node_retention,mean_edit_distance,mean_step_parse_ok,mean_step_count,raw_execution_rate,missing_edge_rate,missing_goal_rate,semantic_violation_rate,llm_error_rate
,ppo,first_candidate,unknown,100,0.65,0.5525426042919797,0.7363589534652197,0.41,0.31867157095664655,0.5079874943890338,0.92,0.0,0.05,0.3,0.0,613.68,22.38671620588692,3.61,0.09058889153013266,35.94581274644336,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.51,0.0
,ppo,no_llm,unknown,100,0.71,0.6146092505999207,0.7898529302601586,0.9,0.8256326956323347,0.9447714583868639,0.0,0.0,0.12,0.17,0.0,610.63,22.293627179518,2.64,0.02883076441185371,30.912200469040236,0.0,10.67,0.0,0.0,0.0,0.08,0.0,0.02,0.0
,ppo,preference_scorer,unknown,100,0.59,0.4920125056109662,0.6813284290433533,0.85,0.7671626666784216,0.906940968088377,0.88,0.0,0.08,0.33,0.0,622.67,23.75520187782687,4.44,0.0140017413844788,35.53581588884809,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.0
long_horizon,ppo,first_candidate,unknown,1200,0.6233333333333333,0.5955647036179824,0.6503148207314003,0.9233333333333333,0.9068920124020352,0.9370728414458465,0.9233333333333333,0.0,0.13166666666666665,0.245,,578.9666666666667,21.76236861067891,3.8116666666666665,0.0,31.747588444392342,1.0,0.0,9.068333333333333,9.068333333333333,0.0,0.0,0.07666666666666666,0.0,0.0
long_horizon,ppo,no_llm,unknown,1200,0.6933333333333334,0.6666609983009332,0.7187717695980994,0.9233333333333333,0.9068920124020352,0.9370728414458465,0.0,0.0,0.14,0.16666666666666666,,574.6266666666667,20.80811217132581,1.56,0.0,26.882195504659144,0.0,10.331666666666667,0.0,0.0,0.0,0.07666666666666666,0.0,0.0,0.0
long_horizon,ppo,preference_scorer,unknown,1200,0.605,0.5770477355690989,0.6322821297553757,0.8916666666666667,0.8728152435622442,0.9080183810607959,0.8916666666666667,0.0,0.11166666666666666,0.2833333333333333,,573.0816666666667,21.623175290933705,3.5966666666666667,0.0,31.27059258100949,1.0,0.0,9.245,9.245,0.0,0.0,0.10833333333333334,0.0,0.0
semantic_constraint,ppo,first_candidate,unknown,1200,0.6375,0.6099016956285982,0.6642207470582137,0.2891666666666667,0.2642194559566742,0.31545946525688073,0.8733333333333333,0.0,0.12583333333333332,0.23666666666666666,,541.9275,20.570416465274626,3.7983333333333333,0.10473422821956264,34.67184268702678,1.0,0.0,8.776666666666667,8.776666666666667,0.0,0.0,0.12666666666666668,0.5841666666666666,0.0
semantic_constraint,ppo,no_llm,unknown,1200,0.6808333333333333,0.6539169370124235,0.7065956088241715,0.7175,0.6913638152124733,0.7422480486739385,0.0,0.0,0.16,0.15916666666666668,,563.5333333333333,20.968346212764907,2.736666666666667,0.05604721143024407,30.258092734440943,0.0,9.39,0.0,0.0,0.0,0.12666666666666668,0.0,0.15583333333333332,0.0
semantic_constraint,ppo,preference_scorer,unknown,1200,0.44083333333333335,0.4129749684148123,0.46906931382298367,0.64,0.6124343744009852,0.6666721126983142,0.6958333333333333,0.0,0.14583333333333334,0.41333333333333333,,580.1566666666666,23.799600902406013,5.640833333333333,0.01786309653665721,38.27759125373691,1.0,0.0,10.613333333333333,10.613333333333333,0.0,0.0,0.30416666666666664,0.05583333333333333,0.0
