scenario,algo,planner_mode,model,episodes,success_rate,success_ci95_low,success_ci95_high,strict_valid_rate,strict_ci95_low,strict_ci95_high,parse_ok_rate,repair_rate,collision_rate,timeout_rate,invalid_route_rate,mean_steps,mean_route_distance,mean_route_turns,mean_semantic_cost,mean_route_score,mean_node_retention,mean_edit_distance,mean_step_parse_ok,mean_step_count,raw_execution_rate,missing_edge_rate,missing_goal_rate,semantic_violation_rate,llm_error_rate
,ppo,llm_step_consistency_gate,unknown,100,0.65,0.5525426042919797,0.7363589534652197,0.84,0.7557955544110557,0.8990479765052628,0.6,0.0,0.09,0.26,0.0,589.41,21.930867486228998,4.08,0.029069912494976292,33.546303111130335,1.0,0.0,0.0,0.0,0.0,0.03,0.1,0.03,0.0
long_horizon,ppo,llm_step_consistency_gate,unknown,1200,0.6566666666666666,0.6293394046872995,0.6829940451619163,0.8733333333333333,0.8533157291729591,0.8909682364251726,0.6766666666666666,0.0,0.11666666666666667,0.22666666666666666,,550.6516666666666,20.483320581498198,2.7783333333333333,0.0,28.87135894406017,1.0,0.0,2.285,9.655,0.0,0.04,0.08666666666666667,0.0,0.0
semantic_constraint,ppo,llm_step_consistency_gate,unknown,1200,0.615,0.587142813778216,0.6421232291962085,0.6666666666666666,0.6394998725950838,0.6927697549040821,0.5766666666666667,0.0,0.125,0.26,,537.0666666666667,20.34571782651511,4.019166666666667,0.05071752984638787,32.237657905046085,1.0,0.0,2.8233333333333333,9.255833333333333,0.0,0.0575,0.12333333333333334,0.1525,0.0
