scenario,algo,planner_mode,model,map_id,episodes,unique_cases,unique_seeds,success_rate,success_rate_boot_low,success_rate_boot_high,strict_valid_rate,strict_valid_rate_boot_low,strict_valid_rate_boot_high,parse_ok_rate,parse_ok_rate_boot_low,parse_ok_rate_boot_high,collision_rate,collision_rate_boot_low,collision_rate_boot_high,timeout_rate,timeout_rate_boot_low,timeout_rate_boot_high,mean_steps,mean_steps_boot_low,mean_steps_boot_high,mean_semantic_cost,mean_semantic_cost_boot_low,mean_semantic_cost_boot_high,mean_route_distance,mean_route_distance_boot_low,mean_route_distance_boot_high,mean_route_turns,mean_route_turns_boot_low,mean_route_turns_boot_high
long_horizon,ppo,llm_step,liquid_lfm2.5-1.2b,all,1200,400,3,0.5275,0.49916666666666665,0.5566666666666666,0.895,0.8775,0.9116666666666666,0.895,0.8775,0.9116666666666666,0.07,0.056666666666666664,0.085,0.4025,0.37583333333333335,0.43166666666666664,651.1825,637.5308333333334,664.6533333333333,0.0,0.0,0.0,25.232552234676493,24.673194440170786,25.77382363767049,4.685,4.55,4.826666666666667
long_horizon,ppo,llm_step,nvidia_nemotron-3-nano-4b,all,836,400,3,0.5717703349282297,0.5382775119617225,0.604066985645933,0.9485645933014354,0.9330143540669856,0.9629186602870813,0.9210526315789473,0.9019138755980861,0.937799043062201,0.09090909090909091,0.0729665071770335,0.11124401913875598,0.3373205741626794,0.3062200956937799,0.3696172248803828,629.4126794258373,611.9413875598086,646.7344497607655,0.0,0.0,0.0,24.36029504378722,23.718926911515513,25.027874570308267,3.623205741626794,3.4700956937799043,3.7799043062200957
long_horizon,ppo,llm_step_order_ensemble,liquid_lfm2.5-1.2b,all,100,100,1,0.49,0.39,0.59,0.87,0.8,0.93,0.87,0.8,0.93,0.15,0.08,0.22,0.36,0.27,0.45,598.58,546.05,649.75,0.0,0.0,0.0,23.351872308581786,21.68089593778727,25.049487320953087,4.79,4.31,5.27
long_horizon,ppo,no_llm,no_llm,all,1200,400,3,0.6375,0.6108333333333333,0.6641666666666667,0.9625,0.9516666666666667,0.9733333333333334,0.0,0.0,0.0,0.0875,0.07083333333333333,0.10333333333333333,0.275,0.25,0.30083333333333334,630.175,616.5416666666666,644.5583333333333,0.0,0.0,0.0,23.682585454476467,23.147914397468316,24.217674266453628,1.16,1.0916666666666666,1.2308333333333332
semantic_constraint,ppo,llm_step,liquid_lfm2.5-1.2b,all,1199,400,3,0.5229357798165137,0.4954128440366973,0.5529608006672226,0.628023352793995,0.6005004170141784,0.6538782318598833,0.8298582151793161,0.8073394495412844,0.8498748957464554,0.09007506255212677,0.07422852376980818,0.10592160133444536,0.3869891576313595,0.359466221851543,0.41618015012510423,614.9474562135113,600.1501251042536,628.7072560467055,0.04365045157695473,0.04022258733292932,0.04706874070566893,24.498098698078874,23.899776389286853,25.1111866681086,5.419516263552961,5.256880733944954,5.589658048373645
semantic_constraint,ppo,llm_step,nvidia_nemotron-3-nano-4b,all,791,396,2,0.5347661188369153,0.5006321112515802,0.5676359039190898,0.47281921618204803,0.438685208596713,0.506953223767383,0.8407079646017699,0.8166877370417194,0.865992414664981,0.08217446270543616,0.06447534766118837,0.09987357774968394,0.38305941845764857,0.347661188369153,0.41719342604298354,596.8255372945638,578.2300884955753,615.2515802781289,0.06444847337990597,0.05895337428006983,0.06997071231038358,22.801336808196535,22.048453082034083,23.50734006670449,3.3451327433628317,3.179519595448799,3.5082174462705438
semantic_constraint,ppo,llm_step_order_ensemble,liquid_lfm2.5-1.2b,all,100,100,1,0.4,0.3,0.49,0.61,0.52,0.71,0.79,0.71,0.87,0.25,0.17,0.34,0.35,0.26,0.45,585.84,533.48,635.85,0.04096961482077601,0.030545410658778333,0.051614022174134945,24.71818591824662,22.81257625246092,26.65645157424534,6.31,5.71,6.92
semantic_constraint,ppo,no_llm,no_llm,all,1200,400,3,0.625,0.5983333333333334,0.6533333333333333,0.9125,0.8966666666666666,0.9283333333333333,0.0,0.0,0.0,0.105,0.08666666666666667,0.1225,0.27,0.24583333333333332,0.2941666666666667,637.3975,623.225,650.6841666666667,0.02414053312387288,0.021490669826859096,0.026892950719848752,24.304265723673307,23.817129524186427,24.783830103741238,2.435,2.3508333333333336,2.5225
